tweet, sentiment, polarity
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.4098399525785426,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.3757641921397383,Negative
b'RT @seanshapiro: Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger p\xe2\x80\xa6',-0.3960905349794246,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.4198660714285721,Negative
b'@nill tk',-0.4337662337662333,Negative
b'@DallasStars Nill you trade that 3 overall and Patrick or Hischier fall I will slap your mustache.',-0.4095238095238092,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.39274017467248934,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.409821428571429,Negative
b"okay why the hell is Jim Nill considering trading the Stars' third overall pick",-0.4293814432989687,Negative
b'@Nana_Busker \xe3\x82\x84\xe3\x82\x8b\xe3\x81\x98\xe3\x82\x83\xe3\x82\x93\xef\xbc\x81\xe3\x82\x88\xe3\x81\x97\xe3\x81\xa0\xe3\x81\x82\xe3\x81\x82\xe3\x81\x82\xe3\x81\x82\xef\xbc\x81\xef\xbc\x81',-0.5342391304347822,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.37888064316635783,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.4038934426229516,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.39977678571428604,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.39029839208410677,Negative
b'RT @brandonworley: Good. Drive that price up, Nill! https://t.co/QbzNCTg0oa',-0.3975161359724624,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.38995633187772955,Negative
b'RT @DallasStars: "Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https:/\xe2\x80\xa6',-0.3563762626262632,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.3994665085951402,Negative
b'"Yeah, there\'s been continuing interest."\n\nJim Nill\'s phone has been busy with teams calling about the Stars pick. https://t.co/gO49YRXFLF',-0.3971698113207544,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.3886209029066176,Negative
b'RT @seanshapiro: Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger p\xe2\x80\xa6',-0.34247512437810973,Negative
b'RT @seanshapiro: Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger p\xe2\x80\xa6',-0.36480686695279,Negative
b'RT @seanshapiro: Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger p\xe2\x80\xa6',-0.3574293353705122,Negative
b'RT @seanshapiro: Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger p\xe2\x80\xa6',-0.39254385964912314,Negative
b'RT @seanshapiro: Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger p\xe2\x80\xa6',-0.38267543859649156,Negative
b'RT @seanshapiro: Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger p\xe2\x80\xa6',-0.4053497942386839,Negative
b'Jim Nill says that if No. 3 pick is moved it would have to be for "pretty good player" and it would have to be a younger player.',-0.4033018867924525,Negative
b'Good. Drive that price up, Nill! https://t.co/QbzNCTg0oa',-0.4095748299319724,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.4071744627054366,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.432538132440477,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.38753865182436653,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.39002782931354396,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.39721871049304724,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.4071744627054366,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.3899213075060537,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.38726295828065777,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.39540956878619266,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.39627723970944345,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.3833254548771797,Negative
b'\xe8\x8f\xaf\xe5\xa5\xa2\xe3\x81\xaa\xe3\x83\x87\xe3\x82\xb6\xe3\x82\xa4\xe3\x83\xb3\xe3\x81\x8c\xe3\x82\xaa\xe3\x83\x95\xe3\x82\xa3\xe3\x82\xb9\xe3\x81\xa7\xe3\x82\x82\xe4\xb8\x8a\xe5\x93\x81\xe3\x81\xab\xe4\xbd\xbf\xe3\x81\x84\xe3\x82\x84\xe3\x81\x99\xe3\x81\x84\xe2\x99\xaa\xe3\x82\xa2\xe3\x82\xaf\xe3\x82\xbb\xe3\x82\xb5\xe3\x83\xaa\xe3\x83\xbchttps://t.co/iLNsZcbOGb',-0.48440860215053727,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.38079430942501524,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.42156194427978744,Negative
b'RT @CraigCustance: Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.39721871049304724,Negative
b'Jim Nill getting interest in No. 3 overall pick. Looking for high end player who can play right away if he moves it.',-0.41097595473833054,Negative
b'\xe3\x83\x9c\xe3\x83\xbc\xe3\x83\x8a\xe3\x82\xb9+\xe3\x81\x8a\xe7\xb5\xa6\xe6\x96\x99\xe3\x81\xa7\xe3\x81\x8a\xe9\x87\x91\xe6\x8c\x81\xe3\x81\xa1\xe3\x81\xab\xe3\x81\xaa\xe3\x81\xa3\xe3\x81\x9f\xe9\x8c\xaf\xe8\xa6\x9a\xe3\x81\xab\xe9\x99\xa5\xe3\x82\x8b\xe6\x9c\xac\xe6\x97\xa5',-0.41315789473684167,Negative
b'\xeb\xac\xb4\xec\x8a\xa8 \xec\x86\x8c\xeb\xa6\xac\xec\xa7\x80?',-0.4012987012987009,Negative
b'@nill 214',-0.4337662337662333,Negative
b'@get_it_on_777 @DineshDSouza @mich_barnes @realDonaldTrump She did win the popular vote. Lmao, like it matters nill',-0.3556179775280895,Negative
b'https://t.co/nBSLigWaYg',-0.45215053763440827,Negative
b'\xec\x82\xac\xeb\x9e\x91\xed\x95\xb4\xec\x9a\x94..',-0.48533333333333295,Negative
b"@truthwatcher @BillKristol Can't have it both ways. Donald Trump's credibility is nill. Huuuuge liar !",-0.3630952380952377,Negative
b'\xec\x95\x84\xec\x84\x9c\xec\x97\x90\xea\xb2\x8c\xec\x84\x9c\xeb\x8a\x94 \xea\xbd\x83\xeb\xb3\xb4\xeb\x8b\xa4 \xec\xa2\x8b\xec\x9d\x80 \xed\x96\xa5\xea\xb8\xb0\xea\xb0\x80 \xeb\x82\x98\xeb\x8a\x94\xea\xb5\xb0\xec\x9a\x94!',-0.3983974358974355,Negative
b'RT @peachymamii: am i bugging or does kanye not look like kanye https://t.co/QrS2NH8AGc',-0.3842605886575743,Negative
b'@nill 66',-0.4337662337662333,Negative
b'@ourann_moe_mhf \xe3\x81\x82\xe3\x82\x8b\xe3\x81\x82\xe3\x82\x8b\xef\xbd\x97\xef\xbd\x97\xef\xbd\x97\xe3\x81\xa7\xe3\x82\x82\xe3\x81\x9d\xe3\x82\x93\xe3\x81\xaa\xe3\x81\xa8\xe3\x81\x93\xe3\x82\x8d\xe3\x81\x8c\xe5\xa5\xbd\xe3\x81\x8d///',-0.4337662337662333,Negative
b'RT @hannah_rose5512: just tryna marry someone who wants to pregame for our kids high school sports games',-0.4251131221719461,Negative
b'@COSMIC_Myua ID\xe4\xb8\xad\xe3\x81\xa7\xe3\x82\x82\xe3\x80\x81\xe6\x88\xa6\xe9\x97\x98\xe4\xb8\xad\xe3\x81\x98\xe3\x82\x83\xe3\x81\xaa\xe3\x81\x91\xe3\x82\x8c\xe3\x81\xb0\xe3\x83\xad\xe3\x83\xbc\xe3\x83\xab\xe5\xa4\x89\xe6\x9b\xb4\xe3\x81\xa7\xe3\x81\x8d\xe3\x82\x8b\xe3\x82\x93\xe3\x82\x88\xef\xbc\x81\xef\xbc\x81\xd9\xa9( \xe1\x90\x9b )\xd9\x88\n\xe6\xad\xbb\xe3\x82\x93\xe3\x81\xa0\xe4\xba\xba\xe3\x81\xab\xe3\x83\x97\xe3\x83\xad\xe3\x83\x86\xe3\x82\xb9\xe3\x81\x8b\xe3\x81\x91\xe7\x9b\xb4\xe3\x81\x9b\xe3\x82\x89\xe3\x82\x8c\xe3\x81\xaa\xe3\x81\x84\xe3\x81\xae\xe3\x81\x8c\xe9\x9b\xa3\xe7\x82\xb9\xe3\x81\xa0\xe3\x81\x8b\xe3\x82\x89\xe3\x80\x81\xe5\xa0\xb4\xe5\x90\x88\xe3\x81\xab\xe3\x82\x88\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\xaf\xe3\x82\x84\xe3\x82\x81\xe3\x81\x9f\xe3\x81\xbb\xe3\x81\x86\xe3\x81\x8c\xe3\x81\x84\xe3\x81\x84\xe3\x81\x8b\xe3\x82\x82\xef\xbc\x81\n\n\xe6\x96\x87\xe5\xad\x97\xe6\x95\xb0\xe8\xb6\xb3\xe3\x82\x8a\xe3\x81\xaa\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x8b\xe3\x82\x89DM\xe3\x81\xa7\xe9\x80\x81\xe3\x82\x8b\xe3\x81\xad\xe7\xac\x91',-0.5342391304347822,Negative
b'RT @susdrax: This is how you get stalked, kidnapped &amp; murdered https://t.co/VtPVoi2uR9',-0.4000386100386112,Negative
b'RT @AskMyRetros: "the pregnant " \xf0\x9f\x98\x82\xf0\x9f\x98\x82 like it\'s a disease or sum \xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/JoIgx9ESRF',-0.39063146997929726,Negative
b'RT @sarahjorden_: I JUST WANTED A VIDEO OF THE CATS PLAYING AND THEN ?!!!?? https://t.co/j6EGWvCtBt',-0.37573735310319606,Negative
b'Me and new friend Rachel outside the Wal-Mart.\n.\n.\n.\n.\n.\n#neon #neko #nill #rainbow #cute\xe2\x80\xa6 https://t.co/VM5RShJ4GM',-0.4438197767145132,Negative
b'@TovarishchLisa and once by jim nill',-0.44474299065420525,Negative
b'1-on-1 with @DallasStars GM Jim Nill, discussing "chatter" around the No. 3 pick in the #NHLDraft\xe2\x80\xa6 https://t.co/g4PyHiHiEV',-0.44205607476635483,Negative
b'Hwhw gamon tidak ya?\n\nDoi kamu gamon dari kamu nill? https://t.co/xdAwyLJ0gH',-0.41896551724137865,Negative
b'\xeb\x8f\x84\xec\x9e\x85\xec\x8b\x9c\xea\xb8\x89',-0.48533333333333295,Negative
