tweet, sentiment, polarity
b'Wild GM Chuck Fletcher did everything in his power to protect who he deemed most valuable to the Wild\n#Expansion\nhttps://t.co/eCtUno4yzF',-0.4126262626262623,Negative
b'@Tanyelala More than welcome, chuck! If this is ever me with Tom Fletcher, I will probably collapse tbh',-0.37198275862068936,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.38820960698689994,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3624089253187618,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3753816793893139,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4105756358768416,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.410450819672132,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3830817830817839,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.38820960698689994,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.41967213114754187,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.43811475409836154,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.398034934497817,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4202811244979928,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3803347280334732,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4112449799196796,Negative
b'@Russostrib: Chuck Fletcher says #mnwild "may" absolutely trade a D by the weekend',-0.4196428571428567,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4022088353413663,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.36377676377676427,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.398034934497817,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.41037117903930187,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3594142259414229,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4275109170305686,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3773622047244102,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.42874015748031574,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3698578448578457,Negative
b"@Russostrib Is chuck Fletcher even there? Wasn't he the one who said you can't bring the same team back?",-0.35297619047619005,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3622950819672135,Negative
b'RT @LetsPlay_Hockey: 50 percent of former #mnwild GM Doug Risebrough\xe2\x80\x99s #NHLDraft picks went on to play at least 1 NHL game. Chuck Fletcher\xe2\x80\x99\xe2\x80\xa6',-0.4219559585492242,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.39429133858267795,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.37724358974359007,Negative
b'Chuck Fletcher automatically wins GM of the year next year if he can move Pommers. #mnwild',-0.3421245421245418,Negative
b'50 percent of former #mnwild GM Doug Risebrough\xe2\x80\x99s #NHLDraft picks went on to play at least 1 NHL game. Chuck Fletch\xe2\x80\xa6 https://t.co/BfzHt910er',-0.4278074866310162,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3895299145299149,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'The Wild traded Alex Tuch for nothing, making it pretty much the best trade Chuck Fletcher has ever made',-0.33924731182795664,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.40545851528384325,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.35662878787878827,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3843096234309628,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.39612068965517283,Negative
b'Come on trade a D and WOW us Chuck Fletcher. #mnwild',-0.24370078740157447,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.398034934497817,Negative
b"RT @Russostrib: Statement from #mnwild GM Chuck Fletcher, whom I'll chat with as soon as the show ends https://t.co/8guzQRXHyj",-0.4124190476190484,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3962315462315467,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.398034934497817,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4305118110236229,Negative
b'RT @mnwild: \xf0\x9f\x8e\xa5 #mnwild GM Chuck Fletcher talks about losing Erik Haula and Alex Tuch during the #VegasDraft. https://t.co/0ZlpFdbMwD',-0.40033434650456035,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3531380753138079,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.398034934497817,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3991452991452996,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4176855895196515,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.39807692307692355,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.35182186234817847,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.38820960698689994,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4534136546184748,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.415170940170941,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.398034934497817,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.38995901639344327,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.398034934497817,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.39947060971157444,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4208661417322843,Negative
b'RT @mnwild: \xf0\x9f\x8e\xa5 #mnwild GM Chuck Fletcher talks about losing Erik Haula and Alex Tuch during the #VegasDraft. https://t.co/0ZlpFdbMwD',-0.38698234349919847,Negative
b'RT @NHLCouchCoach: #MNWild GM Chuck Fletcher says defenseman could "Absolutely" be dealt by this weekend. Lot of interest in Stepan last su\xe2\x80\xa6',-0.4183760683760693,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4179133858267725,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'Le DG du Wild, Chuck Fletcher, confirme les pourparlers avec Montr\xc3\xa9al!!!!! https://t.co/l0NIEmQr1D #sport',-0.39560546874999963,Negative
b'Le DG du Wild, Chuck Fletcher, confirme les pourparlers avec Montr\xc3\xa9al!!!!!https://t.co/grkEORzN3G',-0.47210526315789436,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.41967213114754187,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3814015151515156,Negative
b'RT @BoltsGuy04: Chuck Fletcher, meet Steve Yzerman. Hope you like warm weather, Matt Dumba. https://t.co/WdWouZVgcD',-0.38751745810056004,Negative
b'Good Job, Chuck - Hockey Wilderness (blog) https://t.co/O1QY5YGvEJ',-0.35176470588235254,Negative
b'RT @mnwild: \xf0\x9f\x8e\xa5 #mnwild GM Chuck Fletcher talks about losing Erik Haula and Alex Tuch during the #VegasDraft. https://t.co/0ZlpFdbMwD',-0.3819261637239176,Negative
b'Good Job, Chuck https://t.co/BiK4KQVPcu https://t.co/6b8hNO63jU',-0.3659494232475594,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.36626093571700313,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.38820960698689994,Negative
b'RT @mnwild: \xf0\x9f\x8e\xa5 #mnwild GM Chuck Fletcher talks about losing Erik Haula and Alex Tuch during the #VegasDraft. https://t.co/0ZlpFdbMwD',-0.3920385232744794,Negative
b'RT @mnwild: "We knew we weren\'t going to be able to protect everybody." \xe2\x80\x94\xc2\xa0GM Chuck Fletcher\n\n\xf0\x9f\x93\xb0 #mnwild loses Haula, Tuch \xe2\x86\x92 https://t.co/G4u\xe2\x80\xa6',-0.360505836575876,Negative
b'RT @mnwild: \xf0\x9f\x8e\xa5 #mnwild GM Chuck Fletcher talks about losing Erik Haula and Alex Tuch during the #VegasDraft. https://t.co/0ZlpFdbMwD',-0.3974088145896666,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.38893442622950875,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4176855895196515,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.39487179487179525,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3698744769874481,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4087606837606846,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3895299145299149,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3687763713080172,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4087606837606846,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.4078602620087341,Negative
b'Chuck Fletcher is brutal, btw.',-0.3473404255319145,Negative
b'#MNWild GM Chuck Fletcher says defenseman could "Absolutely" be dealt by this weekend. Lot of interest in Stepan last summer....\xf0\x9f\xa4\x94 #NHL #NYR',-0.41363636363636325,Negative
b'RT @mnwild: "We knew we weren\'t going to be able to protect everybody." \xe2\x80\x94\xc2\xa0GM Chuck Fletcher\n\n\xf0\x9f\x93\xb0 #mnwild loses Haula, Tuch \xe2\x86\x92 https://t.co/G4u\xe2\x80\xa6',-0.34880952380952424,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3895299145299149,Negative
b'RT @mnwild: "We knew we weren\'t going to be able to protect everybody." \xe2\x80\x94\xc2\xa0GM Chuck Fletcher\n\n\xf0\x9f\x93\xb0 #mnwild loses Haula, Tuch \xe2\x86\x92 https://t.co/G4u\xe2\x80\xa6',-0.3659919028340085,Negative
b'RT @mnwild: "We knew we weren\'t going to be able to protect everybody." \xe2\x80\x94\xc2\xa0GM Chuck Fletcher\n\n\xf0\x9f\x93\xb0 #mnwild loses Haula, Tuch \xe2\x86\x92 https://t.co/G4u\xe2\x80\xa6',-0.3933198380566811,Negative
b'RT @Russostrib: Chuck Fletcher says #mnwild may "absolutely" trade a D by the weekend',-0.3962315462315467,Negative
