tweet, sentiment, polarity
b"I'm being DELIVERED FROM THIS RIGHT NOW IN JESUS NAME! I CAN'T MAKE THEM WANT WHAT GOD HAS 4 THEM!!! The Prophets... https://t.co/zIl0l03YNB",-0.4595253759398492,Negative
b'2013 Bowman #Baseball #191 Alex Gordon Kansas City Royals https://t.co/luGSOPzft5 #Royals #Marker https://t.co/NVfq2Dg3tm',-0.39116795366795326,Negative
b'RT @JoelEmbiid: Please dunk on him so hard that his daddy runs on the court to save him.. https://t.co/cMvt5RYiSQ',-0.4320874861572551,Negative
b'JAYSON TATUM BABY LETS GOOOO',-0.39533333333333287,Negative
b'I added a video to a @YouTube playlist https://t.co/OZCuIJaEGE Travis Bowman - Hotel California (Eagles) - (Fingerstyle Harp Guitar)',-0.3608146399055488,Negative
b'To My Loved Ones, U can just say "I\'M BLESSED BY ASSOCIATION!!!!" https://t.co/0z9B9s6FgB',-0.45315789473684176,Negative
b"RT @ACLU: We can't believe this needs to be said, but it's not okay to drag people out of wheelchairs when they're protesting legislation.\xe2\x80\xa6",-0.37524365993175146,Negative
b'RT @mattkins21: Cloudy skies means no sun delay at Buck Bowman Park tonight.',-0.43715846994535557,Negative
b"#NBA 1996-97 Bowman's Best Refractor #53 Rony Seikaly #OrlandoMagic #Basketball Card https://t.co/U0ay69p0oV #Card #Cards",-0.2936363636363634,Negative
b'Judge, Bellinger, Bowman Chrome refractors &amp; more! https://t.co/nQZtuJMm8E. #collect #TheHobby #AllRise #MLB  #Topps #Bowman',-0.4598290598290593,Negative
b'Little Jada \xf0\x9f\x98\x8d https://t.co/u0W8H3hFg5',-0.36755952380952345,Negative
b'Issa vibe \xe2\x80\xa2\xe2\x80\xa2 \n\nFar From Home \xe2\x80\xa2 Roman Bowman  https://t.co/8k1KV1Ux4t',-0.39924242424242395,Negative
b'@squatch_lord Fug',-0.4045454545454541,Negative
b'Stan Bowman should try trading Hossa to the Bulls after seeing that deal.',-0.4305263157894733,Negative
b'RT @Tee_Grizzley: everyone RT this &amp; make this viral. \xf0\x9f\x98\x82\n\n#LEBRONJAMESCHALLENGE https://t.co/BkwHeE92ey',-0.4065016031350205,Negative
b"@Will_A_Bowman I think it's graysens",-0.4539999999999996,Negative
b'@Blackhawk_Up Thank God.  Q loved him obviously Bowman not so much.  Me neither.',-0.3536144578313249,Negative
b'RT @StephenAtHome: .@realDonaldTrump Don\'t worry, Mr. President. I\'m in Russia. If the "tapes" exist, I\'ll bring you back a copy! https://t\xe2\x80\xa6',-0.39707912904938986,Negative
b"RT @HillaryClinton: If you're waiting for the right moment to call your Senator about Trumpcare, the moment is now. Don't wait until it's t\xe2\x80\xa6",-0.4111778918755665,Negative
b'RT @RBReich: Over the last decade, no one in America has been more dogged in denying health care to millions of Americans than Mitch McConn\xe2\x80\xa6',-0.3506887052341608,Negative
b'R.I.P Grandma Bowman \xf0\x9f\x98\x87',-0.34399999999999964,Negative
b'#BearsNation #Bears #ChicagoBears Joel Quenneville and Stan Bowman preparing for life without Marian Hossa https://t.co/p4MkcGMzng',-0.5095238095238089,Negative
b'#MLB #Cards: 2011 BOWMAN PLATINUM BRYCE HARPER RC ROOKIE WASHINGTON #Nationals #Card #56 [A]\xe2\x80\xa6 https://t.co/MjQ7W9ammF',-0.4540697674418601,Negative
b'#MLB 2001 Bowman Draft Picks #Ichiro #Suzuki ROOKIE RC #84 PSA 9 MINT (PWCC) https://t.co/TXMPuTY4Ei #Marlins https://t.co/NQn1oVoGS1',-0.34373015873015844,Negative
b'RT @RBReich: Never before has a bill that would affect so many Americans been handled so secretly and with no opportunity for public debate\xe2\x80\xa6',-0.35424657534246673,Negative
b'2007 Bowman Draft Clayton #Kershaw BDPP77 Los Angeles Dodgers NRMT+ RC https://t.co/YaINzZJutp #Dodgers #Pitcher https://t.co/Z78IVl3Ken',-0.33824002574002543,Negative
b'2015 Joe Flacco /25 SP RED PARALLEL Baltimore #Ravens Bowman #Football (#9) https://t.co/vt8m0aNtfB #NFL https://t.co/COH0bBszSL',-0.4244767970882617,Negative
b'#Cards #Braves FREDDIE FREEMAN Auto 2009 Bowman Chrome Autograph #Atlanta Braves https://t.co/eyqjhr0zIJ #Card\xe2\x80\xa6 https://t.co/avjigynh7j',-0.3933673469387752,Negative
b'#Indians 2010 Bowman #131 #MichaelBourn Houston Astros Baseball Card https://t.co/xLaKE4cRmf #MLB https://t.co/MiRTZsJHSt',-0.41648764769065477,Negative
b'RT @BetteMidler: Penalize the poor!  The shits in the #GOP ALWAYS wanted to shred Medicare;  program that has saved millions of lives over\xe2\x80\xa6',-0.4468362034441337,Negative
b'RT @ananavarro: Liar-in-Chief. https://t.co/fswC20BoSy',-0.4024973803702422,Negative
b'RT @zoeyoneohone: do not beg for what does not want to stay',-0.41919191919191967,Negative
b'RT @laurenduca: A lady at the airport was bopping along to "I Feel Like A Woman." I smiled at her, she winked, and said, "I saw \'Wonder Wom\xe2\x80\xa6',-0.32922381858229866,Negative
b"RT @FIRE_THE_FOOL: I'm ready for this to be a reality. Anyone else? #MAGA https://t.co/BeJxRiCfeO",-0.4533430232558154,Negative
b"RT @FIRE_THE_FOOL: All right, friends. The Senate bill is as bad as we thought. Let's get on the phones right now. Show up at their office\xe2\x80\xa6",-0.4266139108704718,Negative
b'RT @JYSexton: This. Right. Here. https://t.co/nCvanwymWH',-0.3909119897959195,Negative
b'RT @PennStateHonors: Scholars Laura Bowman, Calvin Mende, Christian Lutschaunig, Cara Ulizio and Gavin Turner earned Academic All-Big Ten h\xe2\x80\xa6',-0.3967889908256884,Negative
b'RT @mattmfm: A horrific metaphor for Trumpcare: this disabled woman literally being ripped from her wheelchair. \n#StopTrumpcare  \nhttps://t\xe2\x80\xa6',-0.3941241278002216,Negative
b'RT @mattwilstein: Oh yeah, this is what a president is supposed to sound like. https://t.co/8qAKryBUUp',-0.41055045871559753,Negative
b'RT @frankthorp: Capitol Police say they arrested 43 people (15 males &amp; 28 females) in this "die-in" protest outside McConnell\'s office --&gt;\xe2\x80\xa6',-0.4115717615717628,Negative
b'RT @WinxHorse: ...spacing her races throughout to get her there in the best condition possible.\nMy staff, owners, Hugh Bowman &amp; I are excit\xe2\x80\xa6',-0.2776515151515146,Negative
b'A follow-up to my Willard Library story from earlier this week.  https://t.co/WUNlJ4qf17',-0.47421052631578914,Negative
b'My final full day at the @IETFestival enjoying the concert of Dr Brian Bowman. Got to play with him lastnight too https://t.co/QUQBpvuvES',-0.3895572263993313,Negative
b'RT @ThePlumLineGS: Obama blasts GOP bill: \n\n"Not a health care bill, a massive transfer of wealth to richest in America"\n\nhttps://t.co/mMxi\xe2\x80\xa6',-0.4069124423963137,Negative
b'#Stylish #Beauty 2005-06 #CarmenElectra Bowman Chrome https://t.co/3ebxojmDOp #News https://t.co/gKVNsSJ59c',-0.3390460210930005,Negative
b'RT @susdrax: This is how you get stalked, kidnapped &amp; murdered https://t.co/VtPVoi2uR9',-0.4136734693877563,Negative
b'RT @BHTVeric: Stan Bowman on Hossa: "He helped establish a tradition and a culture here that\'s going to live on for decades and decades." #\xe2\x80\xa6',-0.41962809917355404,Negative
b'RT @neiltyson: Me &amp; @BillNye \xe2\x80\x94 Reminding you that when cosmic knowledge blows your mind, sometimes you gotta wear shades. #NationalSelfieDa\xe2\x80\xa6',-0.4545646336785585,Negative
