tweet, sentiment, polarity
b'RT @BicyclesOnly: Gorton: "We cannot allow a minority of over-privileged drivers to monopolize our precious limited public space." https://\xe2\x80\xa6',-0.37742187784204645,Negative
b'RT @BicyclesOnly: Gorton: "We cannot allow a minority of over-privileged drivers to monopolize our precious limited public space." https://\xe2\x80\xa6',-0.3573336159389577,Negative
b'RT @BicyclesOnly: Gorton: "We cannot allow a minority of over-privileged drivers to monopolize our precious limited public space." https://\xe2\x80\xa6',-0.3669176761613741,Negative
b'RT @BicyclesOnly: Gorton: "We cannot allow a minority of over-privileged drivers to monopolize our precious limited public space." https://\xe2\x80\xa6',-0.3848723142301128,Negative
b'Gorton: "We cannot allow a minority of over-privileged drivers to monopolize our precious limited public space." https://t.co/eZr5OuiQML',-0.3894964684438366,Negative
b"It's fine, Gorton has a week to make some trades",-0.3680151515151512,Negative
b'Mark Gorton: cautious bureaucrats not transforming our City as promised--"The livable streets movement must lead th\xe2\x80\xa6 https://t.co/NGXXpKIy6m',-0.4332049306625575,Negative
b'"Despite overwelming demand for change, the majority of streets are still dominated by the car," Mark Gorton tells the crowd at #Streetopia',-0.3463068181818179,Negative
b'@DennisTFP again gorton made all the big deals for the cup team  when he was interim gm , all he did was stupid mov\xe2\x80\xa6 https://t.co/6Ujr7DQhgQ',-0.36245954692556603,Negative
b'@DennisTFP that was the team gorton put together, and then you traded away seguin , hall , and eberle for very little',-0.3374556737588649,Negative
b'RT @MarkLungariello: Yonkers: $78M would replace Gorton HS, build new schools https://t.co/sPUEiXpNM2 via @lohud https://t.co/QAnNaejtfo',-0.3737414647208469,Negative
b'@sidmj27 @andygorton63 @gorton_steve Thanks Mark #iknewyouwouldnotice \xf0\x9f\xa4\xa3',-0.41470588235294076,Negative
b'RT @lackinggrit: Idk where I stand. Jury is still out on Gorton IMO, but like i\'ve said i\'m not settling for "there was no deal to be made"\xe2\x80\xa6',-0.3814136125654449,Negative
b"RT @BretzkyBretzky: If Gorton offersheets Draisaitl, I'll start erecting a statue of him. And that won't be the only thing that's erect. @J\xe2\x80\xa6",-0.3245978682170542,Negative
b'@C_hanley2014 @a8burns @CopThatno9 @Maccazz10 @steyards10 Good fucking night boys, one love',-0.3950549450549447,Negative
