tweet, sentiment, polarity
b'@__Hh__H @EbrahimMohw @karimshami1 @HUSSAINMHDI1 @Alameer_M1 @aoUa3wiYVlSCWa2 @Hashim773503509 @Fitni_salam\xe2\x80\xa6 https://t.co/ROytQAcIKM',-0.48010752688171987,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.41633875106929097,Negative
b'This woman is a shero. The GOP senator is a piece of shit. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb#femalesarestrongashell\xe2\x80\xa6 https://t.co/ybF8hC4Bam',-0.3770178460994789,Negative
b'RT @FakeOilersGM: Garth wanted to throw in an extra draft pick but I boldly told him the same thing I told Shero last year: \xe2\x80\x9cNO THANKS\xe2\x80\x9d',-0.3574483775811213,Negative
b'RT @GretaJ19: #Shero \xf0\x9f\x92\x99 https://t.co/KID6AaT2Rr',-0.36457142857143,Negative
b'RT @GretaJ19: #Shero \xf0\x9f\x92\x99 https://t.co/KID6AaT2Rr',-0.3608308605341259,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.40962992439315643,Negative
b'#Shero \xf0\x9f\x92\x99 https://t.co/KID6AaT2Rr',-0.3374509803921563,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39397387273493567,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4022538508003634,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.38217446270543715,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3751614205004046,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3865992414664991,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4079856721449652,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3637100994243861,Negative
b'\xd9\x81\xd9\x8a\xd9\x87 \xd9\x84\xd9\x8a\xd9\x84\xd8\xa9 \xd8\xae\xd9\x8a\xd8\xb1 \xd9\x85\xd9\x86 \xd8\xa3\xd9\x84\xd9\x81 \xd8\xb4\xd9\x87\xd8\xb1 \xd9\x85\xd9\x86 \xd8\xad\xd8\xb1\xd9\x85 \xd8\xae\xd9\x8a\xd8\xb1\xd9\x87\xd8\xa7 \xd9\x81\xd9\x82\xd8\xaf \xd8\xad\xd8\xb1\xd9\x85 #\xd8\xaa\xd9\x88\xd9\x8a\xd8\xaa_\xd8\xad\xd8\xaf\xd9\x8a\xd8\xab #\xd8\xb1\xd9\x85\xd8\xb6\xd8\xa7\xd9\x86 https://t.co/X9pgMd0d1A',-0.36850649350649306,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4194975083056489,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39769518272425347,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.40157115171650154,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.40946059839865245,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3898485468686052,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3905323781429986,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.399873577749685,Negative
b'RT @theECNL: Best of luck to our April #SHERO @MonicaGonzo &amp; the rest of the #AmazingYoungWomen of @EPFinitiative as they begin their journ\xe2\x80\xa6',-0.38887434554973965,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4050358196375906,Negative
b'@NJDevils trade it to the Avs for duchene and pick up their draft pick boom your welcome.  Tell shero to call me for more advice',-0.31136363636363595,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3907873376623386,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.38555055259926424,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4049626245847186,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3678701535258921,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3725970458113325,Negative
b'RT @KVDevils: I would not be surprised if Ray Shero trades for a D-man tomorrow with Vegas or elsewhere considering he still has tons of pi\xe2\x80\xa6',-0.33746556473829153,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.41633875106929097,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.33668889827426507,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.404187925170069,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4024546986936378,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.33669544740973395,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'Looks like a Surprise package! Stylish Nayan at the cynosure of eyes proves her Shero status again #Ladysuperstar\xe2\x80\xa6 https://t.co/x3bqCchone',-0.36666666666666625,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3947882059800675,Negative
b"@njdevilsdetails Nothing.  Now isn't the time to trade FOR players.  Shero should remain focused on drafting and de\xe2\x80\xa6 https://t.co/AsrPN4F7vw",-0.3984307359307356,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.41633875106929097,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3657705389848258,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39539382613510626,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3851243152128119,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3969237252423104,Negative
b'@vaidyeah33 @SharkManDan35 Sorry meant Lu mind was just think shero. But want to thank anyone for setting you back it was parise.',-0.43253012048192735,Negative
b'@JRyan800 @SharkManDan35 shero was not the gm when he did it and it did not help us at all. set us back half a deca\xe2\x80\xa6 https://t.co/F9htSybJuN',-0.31824561403508733,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39769518272425347,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.397791484281736,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.38128287652270304,Negative
